,NSTG,ARWR,ACER,OMER,HIIQ,CLF,DDD,ICPT,AMRN,EXAS,PCRX,PTCT,INSY,FATE,TNDM,DRNA,ALDX,NERV,PRQR,BOOT,FRPT,NVTA,KALV,VKTX,TDOC,NVCR,RETA,TWLO,TCMD,TTD
13,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,0.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
14,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,1.0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
16,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,0.0,1.0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0
17,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1.0,1.0,1.0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0
18,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1.0,1.0,1.0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1
19,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,1.0,1.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
21,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.0,1.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
23,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1
24,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1.0,0.0,0.0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1
25,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,1.0,1.0,1.0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1
26,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
27,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1
28,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,1.0,0.0,0.0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0
29,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,1.0,0.0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0
30,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,0.0,0.0,1.0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1
31,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,0.0,1.0,1.0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0
32,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1
33,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0.0,1.0,1.0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1
34,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,1.0,1.0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
37,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1
39,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0
40,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
41,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1
42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
43,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0
44,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,1.0,1.0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0
45,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1
46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
47,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1
48,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.0,1.0,1.0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0
49,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,1.0,1.0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1
50,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0.0,1.0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0
51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0.0,1.0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0
52,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
53,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1.0,0.0,1.0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
54,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1,0.0,1.0,1.0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0
55,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,1.0,1.0,0.0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1
56,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1.0,1.0,0.0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
57,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
58,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0
59,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
61,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1
64,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1
65,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,1.0,0.0,1.0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1
66,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
67,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0,0.0,1.0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1
68,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0
69,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0
70,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,1.0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1
71,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1.0,1.0,1.0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1
72,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
73,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,1.0,0.0,1.0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0
74,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0,1.0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0
75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,0.0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0
76,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1
78,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
79,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0
80,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0
81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
82,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,1.0,0.0,1.0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0
83,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1
84,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1
85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1
86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1
87,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,1.0,1.0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1
88,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1.0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1
89,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1.0,1.0,0.0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1
91,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1
92,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1,1.0,0.0,1.0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
93,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1
94,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
95,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,0.0,1.0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1
96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1
97,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1,1.0,0.0,1.0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
98,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1
99,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
100,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
102,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0
103,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,0.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1
104,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
105,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0
106,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0.0,1.0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0
107,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1.0,0.0,1.0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0
108,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1
109,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,0.0,1.0,1.0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0
110,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,1.0,1.0,1.0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0
111,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0
112,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
113,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0.0,1.0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0
115,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0
117,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1,0.0,0.0,0.0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0
118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1
119,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
121,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1.0,1.0,1.0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1
122,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
123,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0.0,1.0,0.0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1
124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
126,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,1.0,1.0,1.0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1
127,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0
128,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0
129,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1
130,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1,1.0,0.0,0.0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1
131,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1
132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,1.0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1
133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
134,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1
135,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1.0,1.0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1
136,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0.0,1.0,1.0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0
137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0.0,1.0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0
138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0.0,1.0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1
139,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0
140,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1
141,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1
142,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1.0,1.0,1.0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1
143,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
144,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
145,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,1.0,0.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
146,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
147,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1
148,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,0.0,1.0,1.0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1
149,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
150,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
151,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1
152,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1
153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
154,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1
155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,1.0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1
156,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1
157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.0,1.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1
160,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1
161,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1
162,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
