,PTCT,RETA,DRNA,ARWR,KALV,TNDM,INSY,VKTX,CLF,OMER,FATE,NVTA,NERV,AMRN,ACER,ALDX,PRQR,HIIQ,TWLO,BOOT,NSTG,ICPT,DDD,EXAS,TTD,FRPT,TDOC,PCRX,NVCR,TCMD
16,1.0,1,1,1.0,1,0,0,1,1.0,0.0,0,1,0,0,1.0,0,1,1.0,0,1,1.0,1.0,1.0,1.0,0,1,0,0.0,1,0
17,1.0,1,1,0.0,1,1,0,1,1.0,0.0,0,1,0,0,1.0,0,1,0.0,0,1,1.0,0.0,0.0,1.0,0,1,0,1.0,0,1
18,1.0,1,0,1.0,1,0,1,1,0.0,1.0,1,1,1,1,0.0,0,1,0.0,1,0,0.0,1.0,0.0,1.0,1,0,1,1.0,0,1
19,1.0,1,1,1.0,1,1,0,1,1.0,1.0,1,1,1,0,1.0,1,1,1.0,1,1,0.0,1.0,0.0,1.0,1,1,1,1.0,1,1
20,1.0,1,1,1.0,0,1,1,1,0.0,1.0,1,1,1,0,0.0,1,1,1.0,0,1,1.0,1.0,1.0,1.0,0,1,1,1.0,1,1
21,1.0,1,1,0.0,1,1,1,1,1.0,1.0,1,1,1,1,1.0,1,1,0.0,1,1,1.0,0.0,1.0,0.0,1,1,0,1.0,1,1
22,1.0,1,1,1.0,0,1,1,1,1.0,1.0,1,1,1,1,1.0,1,1,1.0,0,1,1.0,0.0,1.0,1.0,0,1,1,0.0,1,1
23,1.0,0,1,0.0,1,1,0,1,1.0,1.0,0,1,0,1,1.0,0,0,0.0,0,1,1.0,1.0,1.0,1.0,1,0,0,0.0,1,1
24,0.0,0,0,1.0,1,0,1,1,1.0,1.0,1,1,1,1,1.0,0,1,0.0,1,0,1.0,0.0,1.0,1.0,1,1,0,0.0,1,0
25,1.0,0,0,0.0,1,1,1,1,0.0,0.0,1,1,1,0,1.0,1,0,0.0,1,0,1.0,1.0,1.0,1.0,1,1,1,1.0,1,1
26,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,1,1,1,1.0,1,0,1.0,1,1,1.0,1.0,0.0,1.0,1,1,1,1.0,1,1
27,1.0,1,1,0.0,1,1,1,0,1.0,1.0,1,1,0,0,1.0,1,0,1.0,0,1,1.0,1.0,1.0,1.0,1,1,0,1.0,1,0
28,0.0,1,1,1.0,1,1,1,0,0.0,1.0,0,1,0,0,0.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,0,1,1,0.0,0,1
29,0.0,1,1,0.0,1,1,1,1,1.0,1.0,1,0,1,0,1.0,1,0,1.0,1,1,0.0,1.0,0.0,1.0,0,1,1,1.0,0,1
30,1.0,1,1,1.0,1,1,1,0,0.0,1.0,1,1,1,1,0.0,1,0,1.0,1,1,1.0,1.0,1.0,0.0,1,1,0,0.0,1,1
31,1.0,1,1,1.0,0,1,1,0,1.0,0.0,0,1,1,1,1.0,0,0,1.0,1,0,0.0,0.0,1.0,0.0,0,1,0,1.0,0,0
32,1.0,1,0,1.0,1,1,1,1,0.0,1.0,1,1,0,1,1.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,1,0
33,1.0,0,1,1.0,1,1,1,0,0.0,1.0,1,1,1,0,1.0,0,1,1.0,0,1,1.0,0.0,1.0,0.0,1,0,1,1.0,1,1
34,1.0,1,1,1.0,0,1,1,1,1.0,0.0,1,1,1,1,0.0,1,0,1.0,1,1,1.0,1.0,1.0,0.0,1,1,1,1.0,1,1
35,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,1,1,1,1.0,1,1,1.0,1,1,1.0,0.0,1.0,1.0,1,1,1,1.0,1,1
36,1.0,1,1,1.0,0,1,1,1,0.0,0.0,1,1,1,0,0.0,1,1,1.0,1,1,1.0,1.0,1.0,0.0,1,1,1,1.0,0,1
37,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,1,1,1,1.0,1,1,1.0,1,1,0.0,1.0,1.0,0.0,1,1,1,0.0,1,1
38,0.0,1,1,0.0,1,1,1,1,1.0,1.0,1,0,0,1,1.0,1,0,0.0,1,1,1.0,1.0,1.0,1.0,1,0,1,1.0,1,1
39,0.0,1,1,0.0,1,1,1,1,1.0,1.0,1,1,0,0,1.0,1,1,0.0,0,1,0.0,0.0,0.0,0.0,0,1,0,1.0,0,0
40,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,1,0,1,0.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,1,1
41,1.0,1,1,1.0,1,1,1,0,0.0,1.0,1,0,0,1,1.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,1,1
42,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,1,1,1,1.0,1,1,1.0,1,0,1.0,1.0,1.0,1.0,1,1,1,1.0,1,1
43,0.0,0,0,1.0,1,1,1,1,0.0,1.0,1,1,1,1,0.0,1,1,1.0,0,0,0.0,1.0,1.0,0.0,0,1,1,0.0,0,1
44,1.0,1,1,0.0,1,0,0,1,0.0,0.0,0,0,0,0,1.0,1,0,1.0,1,1,0.0,0.0,1.0,0.0,0,1,0,1.0,1,0
45,1.0,1,1,1.0,1,0,0,1,1.0,1.0,1,0,1,1,1.0,1,1,1.0,1,1,0.0,1.0,1.0,1.0,1,1,0,1.0,1,0
46,1.0,1,1,1.0,0,1,1,1,1.0,1.0,0,1,1,0,1.0,1,0,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,1,1
47,1.0,1,1,1.0,0,1,0,1,1.0,0.0,0,1,1,0,1.0,1,1,0.0,0,0,1.0,0.0,0.0,0.0,1,0,1,1.0,0,0
48,1.0,1,1,1.0,0,1,1,0,1.0,1.0,1,1,1,1,1.0,1,0,1.0,1,1,0.0,0.0,1.0,0.0,0,0,1,1.0,1,1
49,1.0,1,1,1.0,0,1,0,1,1.0,0.0,1,0,1,1,0.0,0,1,1.0,0,0,0.0,0.0,0.0,1.0,1,0,0,1.0,1,1
50,1.0,1,1,0.0,0,1,1,1,1.0,1.0,1,1,1,0,1.0,1,0,1.0,0,1,1.0,1.0,1.0,1.0,0,1,1,0.0,1,0
51,1.0,1,1,1.0,1,0,1,1,1.0,1.0,0,0,0,0,1.0,1,1,1.0,0,1,1.0,0.0,1.0,0.0,0,0,1,0.0,1,1
52,1.0,1,1,1.0,1,1,1,0,1.0,1.0,1,1,1,1,0.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1,0,1,1.0,1,1
53,1.0,1,1,1.0,1,1,0,1,0.0,0.0,1,1,0,1,1.0,0,0,1.0,1,1,1.0,0.0,1.0,1.0,0,0,1,0.0,1,1
54,1.0,1,1,0.0,0,1,1,1,1.0,0.0,0,1,1,1,1.0,1,1,1.0,1,1,1.0,1.0,1.0,0.0,0,1,1,1.0,0,0
55,0.0,1,1,1.0,1,1,0,1,0.0,1.0,0,1,1,1,1.0,0,1,0.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,0,0
56,0.0,1,1,1.0,1,1,0,1,0.0,1.0,1,1,0,1,1.0,1,0,1.0,1,0,0.0,1.0,1.0,1.0,1,1,1,1.0,1,1
57,0.0,0,0,1.0,1,1,1,0,0.0,0.0,0,1,0,0,1.0,0,0,0.0,0,0,0.0,1.0,0.0,0.0,1,0,0,0.0,1,0
58,1.0,1,1,1.0,1,1,0,1,0.0,1.0,1,0,0,0,1.0,0,1,1.0,0,1,0.0,1.0,1.0,1.0,0,0,1,1.0,1,1
59,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,1,1,1,0.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,0,1
60,1.0,1,1,1.0,0,1,1,1,1.0,1.0,1,1,1,0,1.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,1,1
61,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,1,1,1,1.0,1,0,1.0,0,1,1.0,1.0,0.0,1.0,0,1,1,1.0,1,1
62,1.0,1,1,1.0,1,0,0,1,1.0,1.0,1,1,1,0,1.0,1,0,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,1,1
63,1.0,0,1,1.0,1,1,1,0,1.0,1.0,1,1,1,1,1.0,1,1,1.0,0,0,1.0,1.0,1.0,1.0,1,1,1,1.0,0,0
64,1.0,0,1,0.0,1,1,1,0,1.0,0.0,0,0,1,1,1.0,1,0,1.0,1,0,1.0,1.0,1.0,1.0,1,1,1,1.0,0,1
65,1.0,0,1,1.0,0,0,1,1,0.0,1.0,1,0,1,0,0.0,0,1,1.0,1,1,0.0,1.0,1.0,1.0,1,0,1,0.0,1,0
66,0.0,1,0,0.0,0,0,0,1,1.0,1.0,1,1,1,1,0.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,1,1
67,1.0,1,1,1.0,1,1,0,1,0.0,0.0,1,1,1,1,0.0,0,1,1.0,1,0,1.0,0.0,0.0,1.0,1,1,0,0.0,0,1
68,0.0,1,1,1.0,1,1,0,1,1.0,1.0,0,1,1,1,1.0,1,1,0.0,0,0,1.0,1.0,1.0,0.0,0,1,0,0.0,0,0
69,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,0,1,0,1.0,1,1,1.0,0,1,0.0,0.0,1.0,0.0,0,1,0,1.0,0,1
70,1.0,1,1,0.0,1,1,1,1,1.0,1.0,1,1,1,1,1.0,0,1,1.0,1,0,1.0,1.0,1.0,0.0,1,0,1,1.0,0,0
71,1.0,1,1,1.0,1,1,1,1,1.0,0.0,1,1,1,0,1.0,1,1,1.0,1,0,1.0,1.0,0.0,1.0,1,0,1,1.0,0,0
72,1.0,1,1,1.0,1,1,0,1,1.0,0.0,0,1,1,1,1.0,1,0,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,1,1
73,1.0,0,1,0.0,0,1,1,1,0.0,1.0,1,1,1,1,0.0,1,1,1.0,1,1,1.0,1.0,0.0,1.0,0,1,1,0.0,0,0
74,1.0,0,1,0.0,1,1,1,1,0.0,1.0,1,0,1,1,1.0,1,1,0.0,0,1,1.0,0.0,1.0,0.0,0,0,1,1.0,0,1
75,0.0,1,0,1.0,1,1,1,1,1.0,1.0,1,1,1,0,1.0,1,0,1.0,0,1,1.0,1.0,1.0,1.0,0,1,1,1.0,1,1
76,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,1,1,0,1.0,1,1,1.0,1,1,0.0,1.0,1.0,1.0,1,1,1,1.0,1,1
77,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,1,0,0,1.0,1,0,1.0,0,0,1.0,1.0,1.0,1.0,1,1,1,1.0,0,1
78,1.0,1,0,0.0,1,1,1,1,0.0,1.0,1,1,1,1,1.0,1,1,1.0,1,0,1.0,1.0,1.0,1.0,1,1,1,1.0,1,1
79,1.0,0,0,0.0,1,1,1,1,0.0,0.0,1,1,0,0,1.0,1,1,1.0,0,0,1.0,0.0,0.0,1.0,0,1,0,1.0,0,0
80,0.0,1,0,1.0,0,1,1,1,1.0,1.0,1,1,0,1,0.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,0,1,1,1.0,1,1
81,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,0,1,1,1.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,1,1
82,1.0,1,1,1.0,0,1,0,1,0.0,1.0,0,1,0,1,1.0,1,1,1.0,0,0,1.0,0.0,1.0,1.0,0,1,1,0.0,0,0
83,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,0,1,1,1.0,0,1,1.0,1,1,0.0,1.0,1.0,1.0,1,0,0,0.0,1,1
84,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,1,1,1,0.0,0,1,1.0,1,0,0.0,1.0,1.0,1.0,1,0,0,0.0,1,1
85,1.0,1,1,1.0,0,1,1,0,1.0,1.0,1,1,1,1,1.0,1,0,1.0,0,1,1.0,1.0,1.0,1.0,1,1,1,1.0,1,1
86,1.0,1,1,1.0,1,1,1,0,1.0,1.0,1,1,1,1,1.0,0,0,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1,0.0,1,1
87,1.0,1,1,1.0,0,1,1,1,1.0,0.0,0,0,1,0,0.0,1,0,0.0,1,1,1.0,1.0,0.0,0.0,1,1,1,1.0,1,0
88,1.0,1,1,0.0,0,1,0,1,1.0,1.0,1,1,1,1,0.0,0,1,0.0,1,1,1.0,0.0,0.0,1.0,1,0,1,1.0,1,1
89,0.0,1,1,1.0,1,1,1,1,1.0,1.0,1,1,1,1,1.0,1,1,1.0,0,1,1.0,1.0,0.0,0.0,1,1,1,1.0,1,1
90,0.0,1,0,1.0,1,1,1,1,1.0,1.0,1,1,1,1,1.0,1,1,1.0,0,0,1.0,1.0,0.0,1.0,1,1,1,1.0,0,1
91,0.0,1,1,1.0,0,0,0,0,0.0,1.0,1,1,1,0,0.0,1,0,1.0,1,1,0.0,0.0,1.0,1.0,1,0,1,0.0,1,1
92,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,1,1,1,0.0,0,1,1.0,1,1,1.0,1.0,0.0,1.0,1,1,1,0.0,1,0
93,1.0,0,0,1.0,0,1,1,1,1.0,1.0,1,1,1,1,1.0,1,1,1.0,1,1,1.0,1.0,0.0,1.0,1,1,0,1.0,0,1
94,1.0,1,1,0.0,1,0,1,1,1.0,0.0,1,1,1,1,1.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,0,1
95,1.0,1,1,1.0,1,1,0,0,1.0,1.0,1,0,1,1,0.0,1,1,0.0,1,1,1.0,0.0,1.0,0.0,1,0,1,0.0,0,1
96,1.0,1,0,1.0,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,0,0
97,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,1,1,1,0.0,1,0,1.0,1,1,1.0,1.0,0.0,1.0,1,0,1,0.0,1,1
98,0.0,1,0,1.0,0,1,1,1,1.0,0.0,1,1,1,0,0.0,1,1,0.0,1,0,0.0,1.0,1.0,1.0,1,1,0,1.0,1,1
99,0.0,1,1,1.0,1,1,1,1,1.0,1.0,1,1,1,1,0.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,0,1,1,1.0,1,1
100,1.0,1,1,0.0,0,1,1,0,1.0,1.0,1,0,1,0,1.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,1,1
101,0.0,0,1,1.0,0,1,1,1,1.0,1.0,1,1,1,0,1.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,0,1
102,0.0,1,1,0.0,0,1,1,1,1.0,1.0,1,1,1,1,1.0,0,1,0.0,1,0,1.0,1.0,1.0,1.0,0,1,1,1.0,0,1
103,1.0,1,1,1.0,1,1,1,1,0.0,1.0,1,0,1,1,1.0,1,1,1.0,1,1,1.0,1.0,0.0,0.0,1,1,0,1.0,0,1
104,1.0,1,1,1.0,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1,1,0.0,1,1,0.0,1.0,1.0,1.0,1,0,1,1.0,1,1
105,1.0,1,1,0.0,0,1,1,1,0.0,1.0,0,0,1,1,0.0,1,1,0.0,1,0,1.0,1.0,1.0,1.0,0,1,0,1.0,1,1
106,1.0,1,1,0.0,1,1,0,1,1.0,1.0,0,0,1,0,1.0,1,1,1.0,1,0,0.0,0.0,1.0,0.0,0,1,0,0.0,0,0
107,1.0,1,1,1.0,1,1,1,1,0.0,0.0,0,1,1,1,1.0,1,1,1.0,0,1,0.0,0.0,1.0,1.0,0,0,1,0.0,1,0
108,1.0,0,1,1.0,1,1,1,1,0.0,1.0,1,1,0,1,1.0,1,1,1.0,1,1,1.0,1.0,0.0,1.0,1,0,1,1.0,1,1
109,1.0,0,1,1.0,0,1,1,1,1.0,1.0,1,0,0,1,1.0,1,1,1.0,1,1,1.0,1.0,0.0,0.0,0,1,1,1.0,0,0
110,1.0,1,1,0.0,0,0,1,1,0.0,1.0,1,1,0,1,1.0,1,1,1.0,0,1,1.0,0.0,1.0,1.0,0,1,0,1.0,1,1
111,1.0,1,1,0.0,1,1,1,1,0.0,1.0,1,0,1,1,1.0,1,1,0.0,0,1,1.0,1.0,1.0,1.0,0,1,0,0.0,1,0
112,1.0,1,1,1.0,0,1,1,1,1.0,1.0,1,0,1,1,1.0,1,1,0.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,1,1
113,1.0,1,0,1.0,1,1,1,1,1.0,0.0,1,1,1,1,0.0,0,1,1.0,0,1,0.0,0.0,0.0,1.0,1,1,1,0.0,1,1
114,0.0,1,1,1.0,0,1,1,1,1.0,1.0,1,1,1,1,1.0,1,0,1.0,1,1,1.0,0.0,1.0,1.0,0,1,1,1.0,1,1
115,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,1,1,1,1.0,1,1,0.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,1,1
116,1.0,1,0,0.0,0,1,1,1,0.0,1.0,0,0,0,1,1.0,1,1,1.0,1,0,1.0,1.0,1.0,1.0,0,1,0,1.0,0,1
117,0.0,0,0,0.0,1,1,0,1,1.0,1.0,0,1,0,1,1.0,0,1,1.0,0,0,1.0,1.0,0.0,0.0,0,1,0,0.0,0,0
118,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,0,1,1,1.0,1,1,1.0,0,0,1.0,1.0,1.0,1.0,1,0,1,0.0,1,1
119,1.0,1,1,1.0,1,1,1,1,0.0,1.0,1,1,1,1,1.0,1,1,1.0,1,1,1.0,0.0,1.0,1.0,1,1,1,1.0,1,1
120,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,0,1,1,1.0,1,1,1.0,1,0,1.0,1.0,1.0,1.0,1,0,1,1.0,1,1
121,1.0,1,1,1.0,1,0,1,1,0.0,1.0,1,1,1,0,1.0,1,1,0.0,1,0,1.0,0.0,1.0,1.0,1,1,0,1.0,1,0
122,1.0,1,1,1.0,1,1,1,1,0.0,1.0,1,1,1,1,1.0,1,1,1.0,1,1,1.0,1.0,1.0,0.0,1,1,1,1.0,1,1
123,0.0,1,1,0.0,0,1,0,1,1.0,1.0,0,1,1,0,1.0,1,1,1.0,0,0,0.0,1.0,0.0,0.0,1,1,1,1.0,0,1
124,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,1,1,1,1.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,1,1
125,1.0,1,0,1.0,1,1,1,1,1.0,1.0,1,1,1,0,1.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,0,1,1,1.0,1,0
126,1.0,1,0,1.0,0,1,0,1,1.0,1.0,1,1,0,0,0.0,0,0,1.0,1,1,1.0,1.0,0.0,1.0,1,0,0,1.0,0,0
127,0.0,1,1,1.0,0,1,0,1,1.0,0.0,1,1,1,1,1.0,0,1,1.0,1,1,1.0,1.0,1.0,1.0,0,1,1,1.0,1,1
128,0.0,1,1,1.0,1,1,1,0,1.0,1.0,0,1,1,1,0.0,1,1,1.0,0,1,1.0,1.0,1.0,1.0,0,0,0,1.0,1,1
129,0.0,0,1,1.0,1,1,0,1,0.0,1.0,0,1,0,0,1.0,0,1,1.0,0,1,1.0,0.0,1.0,1.0,1,1,0,0.0,0,0
130,0.0,1,1,1.0,1,1,1,0,1.0,0.0,1,0,0,1,1.0,1,1,0.0,1,1,0.0,1.0,1.0,1.0,1,1,1,0.0,0,0
131,1.0,1,1,1.0,1,1,1,1,1.0,0.0,1,0,1,0,0.0,0,1,1.0,0,1,0.0,1.0,1.0,1.0,1,1,0,1.0,1,0
132,1.0,0,1,1.0,1,1,0,0,1.0,1.0,0,1,1,1,1.0,1,1,1.0,1,0,1.0,1.0,1.0,0.0,1,0,1,1.0,1,0
133,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,1,1,1,1.0,1,0,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,1,1
134,1.0,1,0,1.0,1,0,1,1,0.0,1.0,1,0,1,0,1.0,1,1,1.0,1,0,0.0,1.0,1.0,1.0,1,1,1,1.0,1,1
135,1.0,1,0,0.0,1,0,1,0,1.0,1.0,1,0,1,0,0.0,1,0,1.0,1,1,1.0,0.0,1.0,0.0,1,0,1,1.0,1,1
136,1.0,1,0,1.0,1,1,1,1,1.0,1.0,0,0,1,0,1.0,1,0,1.0,1,1,1.0,1.0,0.0,0.0,0,1,1,1.0,0,1
137,1.0,1,0,1.0,0,1,1,0,1.0,1.0,1,1,0,0,1.0,1,1,1.0,0,0,1.0,0.0,1.0,0.0,0,1,1,0.0,0,1
138,1.0,1,1,1.0,1,1,0,1,1.0,1.0,0,0,1,0,1.0,0,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1,0,0.0,0,1
139,1.0,1,1,1.0,0,1,1,1,1.0,0.0,1,0,1,1,1.0,0,1,0.0,1,1,1.0,1.0,0.0,0.0,0,0,1,1.0,0,0
140,0.0,1,0,1.0,1,0,1,1,1.0,1.0,0,1,1,1,1.0,1,1,1.0,1,1,0.0,1.0,1.0,1.0,1,0,0,1.0,1,1
141,1.0,1,1,0.0,0,1,1,1,1.0,1.0,1,1,1,1,1.0,0,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1,0,1.0,1,1
142,1.0,1,1,0.0,1,1,1,0,0.0,1.0,1,1,0,1,1.0,1,0,0.0,0,1,0.0,0.0,1.0,1.0,1,1,1,1.0,1,0
143,1.0,1,1,1.0,0,1,1,1,1.0,1.0,1,1,1,1,0.0,1,1,1.0,1,0,1.0,1.0,1.0,1.0,1,1,1,1.0,1,1
144,1.0,0,0,1.0,1,1,1,1,1.0,1.0,1,1,1,0,1.0,1,1,0.0,0,1,0.0,1.0,1.0,0.0,1,1,1,1.0,1,1
145,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,1,1,1,0.0,1,1,0.0,1,1,1.0,1.0,1.0,1.0,1,1,0,0.0,1,1
146,1.0,0,1,1.0,1,1,1,1,1.0,1.0,1,1,1,1,1.0,1,1,1.0,1,1,0.0,1.0,1.0,1.0,1,1,1,1.0,1,1
147,0.0,0,1,1.0,1,1,1,1,1.0,0.0,1,1,1,0,1.0,1,1,1.0,1,1,1.0,1.0,1.0,0.0,1,1,0,1.0,0,0
148,1.0,0,0,1.0,1,0,0,1,0.0,1.0,0,1,0,1,0.0,1,0,1.0,1,1,1.0,1.0,1.0,0.0,1,1,1,1.0,0,0
149,1.0,1,1,1.0,0,0,1,1,1.0,0.0,1,1,1,1,1.0,1,0,1.0,1,1,0.0,1.0,1.0,1.0,1,1,1,1.0,1,1
150,1.0,1,1,1.0,1,1,1,0,1.0,1.0,1,1,1,1,1.0,1,1,1.0,1,1,0.0,0.0,1.0,1.0,1,0,1,1.0,1,1
151,1.0,1,1,1.0,0,1,1,1,1.0,1.0,1,1,1,0,1.0,0,1,1.0,1,1,0.0,1.0,1.0,1.0,1,1,1,1.0,0,1
152,1.0,1,1,1.0,0,1,1,1,1.0,0.0,1,1,1,0,0.0,1,1,0.0,0,1,1.0,0.0,0.0,0.0,1,0,1,1.0,1,1
153,1.0,1,1,1.0,0,1,1,1,1.0,1.0,1,1,1,1,1.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,1,1
154,1.0,1,1,1.0,0,1,1,1,1.0,1.0,1,1,1,0,1.0,1,1,0.0,1,0,1.0,1.0,1.0,1.0,1,0,1,1.0,1,0
155,1.0,1,1,1.0,1,0,0,1,1.0,1.0,1,1,1,1,1.0,1,1,1.0,1,0,1.0,1.0,1.0,0.0,1,0,1,1.0,1,0
156,0.0,1,1,1.0,0,1,1,1,0.0,1.0,0,0,0,1,1.0,1,1,1.0,1,0,1.0,1.0,1.0,0.0,1,0,1,0.0,1,1
157,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,1,1,1,1.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,1,1
158,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,1,1,1,1.0,1,1,1.0,1,1,1.0,0.0,1.0,1.0,1,0,1,0.0,1,1
159,1.0,0,1,1.0,1,1,1,1,1.0,1.0,1,1,1,1,1.0,1,1,1.0,1,0,1.0,1.0,1.0,1.0,1,1,1,1.0,0,1
160,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,1,1,1,1.0,1,1,1.0,1,0,1.0,1.0,0.0,1.0,1,1,0,1.0,0,0
161,0.0,1,1,1.0,0,1,0,1,1.0,1.0,1,0,1,0,1.0,0,1,1.0,0,1,1.0,1.0,1.0,1.0,1,0,1,1.0,0,0
162,0.0,1,1,1.0,1,0,0,1,1.0,1.0,1,1,1,1,0.0,1,1,1.0,1,1,1.0,1.0,1.0,0.0,0,1,0,1.0,1,1
